"","<5","5-24","25-44","45-64",">65"
"2010_H1",127,327,238,159,48
"2011_H1",292,722,536,367,112
"2012_H1",13,29,22,15,5
"2013_H1",95,224,175,123,39
"2014_H1",138,308,243,174,61
"2015_H1",10,21,17,12,4
"2016_H1",184,408,323,236,88
"2017_H1",44,89,74,55,22
"2018_H1",85,182,154,115,45
"2019_H1",177,391,364,272,107
"2010_H3",295,674,498,406,127
"2011_H3",102,224,168,137,45
"2012_H3",583,1232,950,774,258
"2013_H3",124,268,212,172,60
"2014_H3",149,307,245,199,78
"2015_H3",578,1175,957,773,308
"2016_H3",157,323,258,208,89
"2017_H3",507,964,810,658,302
"2018_H3",30,58,50,40,18
"2019_H3",72,146,134,108,50
