"","<5","5-24","25-44","45-64",">65"
"2010_H1",108,187,137,103,41
"2011_H1",247,411,307,237,95
"2012_H1",11,17,13,10,4
"2013_H1",81,128,100,80,34
"2014_H1",115,174,137,111,51
"2015_H1",8,12,10,8,4
"2016_H1",154,234,183,152,74
"2017_H1",37,50,42,36,19
"2018_H1",71,103,87,74,38
"2019_H1",147,220,204,174,90
"2010_H3",248,388,288,265,110
"2011_H3",86,129,97,90,38
"2012_H3",488,706,545,503,222
"2013_H3",104,153,122,112,52
"2014_H3",123,174,138,127,66
"2015_H3",477,668,541,496,261
"2016_H3",130,185,146,133,75
"2017_H3",415,536,455,419,253
"2018_H3",24,33,28,25,15
"2019_H3",59,82,75,68,42
